weights,w_base,w_v12ext,w_v11g93,w_chronos_ft,OOF_recency,OOF_bias_recency_pct,last_fold_bias_pct
"[0.85, 0.075, 0.075, 0.0]",0.85,0.075,0.075,0.0,0.41285000000000005,-1.6978,-0.702
"[0.825, 0.075, 0.075, 0.025]",0.825,0.075,0.075,0.025,0.41518,-1.9827000000000001,-0.725
"[0.8, 0.075, 0.075, 0.05]",0.8,0.075,0.075,0.05,0.41813,-2.2679000000000005,-0.748
"[0.775, 0.075, 0.075, 0.075]",0.775,0.075,0.075,0.075,0.42167,-2.5531,-0.771
"[0.75, 0.075, 0.075, 0.1]",0.75,0.075,0.075,0.1,0.42598,-2.838,-0.794
"[0.725, 0.075, 0.075, 0.125]",0.725,0.075,0.075,0.125,0.43107,-3.1239,-0.818
"[0.7, 0.075, 0.075, 0.15]",0.7,0.075,0.075,0.15,0.43659000000000003,-3.4091,-0.841
"[0.65, 0.075, 0.075, 0.2]",0.65,0.075,0.075,0.2,0.44896,-3.9791999999999996,-0.887
"[0.825, 0.075, 0.1, 0.0]",0.825,0.075,0.1,0.0,0.41367,-1.8599,-0.918
"[0.8, 0.075, 0.1, 0.025]",0.8,0.075,0.1,0.025,0.41605000000000003,-2.1448,-0.941
"[0.775, 0.075, 0.1, 0.05]",0.775,0.075,0.1,0.05,0.41901999999999995,-2.4299999999999997,-0.964
"[0.75, 0.075, 0.1, 0.075]",0.75,0.075,0.1,0.075,0.42261,-2.7157,-0.988
"[0.725, 0.075, 0.1, 0.1]",0.725,0.075,0.1,0.1,0.42708999999999997,-3.0008,-1.011
"[0.7, 0.075, 0.1, 0.125]",0.7,0.075,0.1,0.125,0.43221,-3.286,-1.034
"[0.675, 0.075, 0.1, 0.15]",0.675,0.075,0.1,0.15,0.43775,-3.5712,-1.057
"[0.625, 0.075, 0.1, 0.2]",0.625,0.075,0.1,0.2,0.45019,-4.141299999999999,-1.103
"[0.8, 0.075, 0.125, 0.0]",0.8,0.075,0.125,0.0,0.41454,-2.0220000000000002,-1.134
"[0.775, 0.075, 0.125, 0.025]",0.775,0.075,0.125,0.025,0.41698999999999997,-2.3074,-1.158
"[0.75, 0.075, 0.125, 0.05]",0.75,0.075,0.125,0.05,0.41996,-2.5926,-1.181
"[0.725, 0.075, 0.125, 0.075]",0.725,0.075,0.125,0.075,0.42357,-2.8779999999999997,-1.204
"[0.7, 0.075, 0.125, 0.1]",0.7,0.075,0.125,0.1,0.42819999999999997,-3.1629000000000005,-1.227
"[0.675, 0.075, 0.125, 0.125]",0.675,0.075,0.125,0.125,0.43334,-3.4481,-1.25
"[0.65, 0.075, 0.125, 0.15]",0.65,0.075,0.125,0.15,0.43896,-3.7333,-1.273
"[0.6, 0.075, 0.125, 0.2]",0.6,0.075,0.125,0.2,0.45142000000000004,-4.3034,-1.319
"[0.775, 0.075, 0.15, 0.0]",0.775,0.075,0.15,0.0,0.41540999999999995,-2.1846,-1.351
